diet,pathway,age_group_a,age_group_b,sum_abs_flux_a,sum_abs_flux_b,delta_b_minus_a,abs_delta_b_minus_a
high_fiber,"Glycine, serine, alanine, and threonine metabolism",20_40,40_60,21191.126622707965,16332.882544624867,-4858.244078083098,4858.244078083098
high_fiber,Citric acid cycle,20_40,60_plus,32533.923549572377,37358.34609930537,4824.42254973299,4824.42254973299
high_fiber,Pentose phosphate pathway,40_60,60_plus,6540.514994260866,10985.282353139924,4444.7673588790585,4444.7673588790585
high_fiber,Glycerophospholipid metabolism,20_40,40_60,12456.920920562852,8064.441119664681,-4392.479800898172,4392.479800898172
high_fiber,Glycolysis/gluconeogenesis,20_40,40_60,25144.158120320288,20752.087752131705,-4392.0703681885825,4392.0703681885825
high_fiber,"Transport, extracellular",20_40,60_plus,23481.922279163467,19103.466625714256,-4378.455653449211,4378.455653449211
high_fiber,Exchange/demand reaction,40_60,60_plus,6977.703363469656,11210.38819959547,4232.684836125814,4232.684836125814
high_fiber,Aminosugar metabolism,20_40,60_plus,7823.372628870362,3659.3161089136806,-4164.056519956681,4164.056519956681
high_fiber,Folate metabolism,40_60,60_plus,13175.971256596675,17327.738555490945,4151.76729889427,4151.76729889427
high_fiber,Arginine and proline metabolism,40_60,60_plus,2318.8502023355913,6316.059958787375,3997.2097564517835,3997.2097564517835
high_fiber,Starch and sucrose metabolism,20_40,40_60,6960.1502907836,2986.388409358193,-3973.7618814254074,3973.7618814254074
high_fiber,Arginine and proline metabolism,20_40,40_60,6081.155268149943,2318.8502023355913,-3762.305065814352,3762.305065814352
high_fiber,Aminosugar metabolism,40_60,60_plus,159.59842622141613,3659.3161089136806,3499.7176826922646,3499.7176826922646
high_fiber,Glycerophospholipid metabolism,20_40,60_plus,12456.920920562852,15946.940522312787,3490.0196017499347,3490.0196017499347
high_fiber,Starch and sucrose metabolism,20_40,60_plus,6960.1502907836,4030.3930960227804,-2929.75719476082,2929.75719476082
high_fiber,"Transport, extracellular",40_60,60_plus,16333.736396054497,19103.466625714256,2769.730229659759,2769.730229659759
high_fiber,Folate metabolism,20_40,60_plus,14595.516245628743,17327.738555490945,2732.2223098622017,2732.2223098622017
high_fiber,Pentose phosphate pathway,20_40,40_60,8940.953231591986,6540.514994260866,-2400.43823733112,2400.43823733112
high_fiber,Pyruvate metabolism,20_40,40_60,5237.279349248867,2908.7402867494698,-2328.5390624993975,2328.5390624993975
high_fiber,Butanoate metabolism,40_60,60_plus,5051.363372739371,7315.389695101866,2264.026322362495,2264.026322362495
high_fiber,Glycolysis/gluconeogenesis,20_40,60_plus,25144.158120320288,27402.990975298133,2258.8328549778453,2258.8328549778453
high_fiber,Butanoate metabolism,20_40,60_plus,5069.139803616842,7315.389695101866,2246.249891485024,2246.249891485024
high_fiber,Pentose phosphate pathway,20_40,60_plus,8940.953231591986,10985.282353139924,2044.3291215479385,2044.3291215479385
high_fiber,Glyoxylate and dicarboxylate metabolism,20_40,40_60,4139.256075541995,2123.704960146951,-2015.5511153950442,2015.5511153950442
high_fiber,beta-Alanine metabolism,40_60,60_plus,6.818926178525487,2003.691267657788,1996.8723414792626,1996.8723414792626
high_fiber,Pyruvate metabolism,40_60,60_plus,2908.7402867494698,4901.641334210232,1992.9010474607626,1992.9010474607626
high_fiber,Exchange/demand reaction,20_40,60_plus,13201.203375339574,11210.38819959547,-1990.8151757441028,1990.8151757441028
high_fiber,beta-Alanine metabolism,20_40,60_plus,19.284168751521698,2003.691267657788,1984.4070989062664,1984.4070989062664
high_fiber,Glyoxylate and dicarboxylate metabolism,40_60,60_plus,2123.704960146951,4103.104053828258,1979.3990936813066,1979.3990936813066
high_fiber,Alanine and aspartate metabolism,20_40,40_60,2501.0771095361547,615.5599249033648,-1885.5171846327898,1885.5171846327898
high_fiber,Terpenoid backbone biosynthesis,20_40,40_60,5735.96781157531,4007.015703691604,-1728.9521078837065,1728.9521078837065
high_fiber,Terpenoid backbone biosynthesis,20_40,60_plus,5735.96781157531,4224.3352839790705,-1511.63252759624,1511.63252759624
high_fiber,Folate metabolism,20_40,40_60,14595.516245628743,13175.971256596675,-1419.5449890320688,1419.5449890320688
high_fiber,Alanine and aspartate metabolism,20_40,60_plus,2501.0771095361547,1269.9300489077837,-1231.147060628371,1231.147060628371
high_fiber,"Glycine, serine, alanine, and threonine metabolism",20_40,60_plus,21191.126622707965,22407.514335428732,1216.387712720767,1216.387712720767
high_fiber,NAD metabolism,40_60,60_plus,1066.0988354011236,2142.8473161396328,1076.7484807385092,1076.7484807385092
high_fiber,Starch and sucrose metabolism,40_60,60_plus,2986.388409358193,4030.3930960227804,1044.0046866645876,1044.0046866645876
high_fiber,NAD metabolism,20_40,60_plus,1124.2995458403861,2142.8473161396328,1018.5477702992466,1018.5477702992466
high_fiber,Alanine and aspartate metabolism,40_60,60_plus,615.5599249033648,1269.9300489077837,654.3701240044188,654.3701240044188
high_fiber,Purine catabolism,20_40,40_60,2718.065660068898,2111.252005286831,-606.8136547820673,606.8136547820673
high_fiber,Purine catabolism,20_40,60_plus,2718.065660068898,2171.4718878008575,-546.5937722680405,546.5937722680405
high_fiber,Methionine and cysteine metabolism,40_60,60_plus,74.12119564404536,510.9501646643235,436.8289690202781,436.8289690202781
high_fiber,Respiration,40_60,60_plus,2915.2435356086953,3332.6631001670626,417.41956455836726,417.41956455836726
high_fiber,Pentose and glucuronate interconversions,20_40,40_60,526.9270730877099,109.93013590318927,-416.9969371845207,416.9969371845207
high_fiber,Respiration,20_40,60_plus,2982.9216440917326,3332.6631001670626,349.74145607533,349.74145607533
high_fiber,Pyruvate metabolism,20_40,60_plus,5237.279349248867,4901.641334210232,-335.6380150386349,335.6380150386349
high_fiber,Methionine and cysteine metabolism,20_40,40_60,375.3342853535486,74.12119564404536,-301.2130897095032,301.2130897095032
high_fiber,Sulfur metabolism,40_60,60_plus,95.15742786274609,388.2554781331144,293.09805027036833,293.09805027036833
high_fiber,Pyrimidine catabolism,40_60,60_plus,127.05238411933897,371.56859822929636,244.5162141099574,244.5162141099574
high_fiber,Arginine and proline metabolism,20_40,60_plus,6081.155268149943,6316.059958787375,234.9046906374315,234.9046906374315
high_fiber,Pentose and glucuronate interconversions,40_60,60_plus,109.93013590318927,339.13680348643294,229.20666758324367,229.20666758324367
high_fiber,Terpenoid backbone biosynthesis,40_60,60_plus,4007.015703691604,4224.3352839790705,217.31958028746658,217.31958028746658
high_fiber,Bile acid metabolism,20_40,40_60,2200.0,2000.0,-200.0,200.0
high_fiber,Glutamate metabolism,20_40,60_plus,12917.200017384312,12725.143152690593,-192.05686469371904,192.05686469371904
high_fiber,Urea cycle,40_60,60_plus,322.2369440309573,134.1306808669762,-188.1062631639811,188.1062631639811
high_fiber,Pentose and glucuronate interconversions,20_40,60_plus,526.9270730877099,339.13680348643294,-187.79026960127698,187.79026960127698
high_fiber,Pyrimidine catabolism,20_40,40_60,306.84690385486584,127.05238411933897,-179.79451973552688,179.79451973552688
high_fiber,Urea cycle,20_40,60_plus,303.59716106224147,134.1306808669762,-169.46648019526526,169.46648019526526
high_fiber,Sulfur metabolism,20_40,60_plus,232.27073156163186,388.2554781331144,155.98474657148256,155.98474657148256
high_fiber,Propanoate metabolism,20_40,40_60,3228.674141752237,3075.873991695522,-152.8001500567152,152.8001500567152
high_fiber,Tryptophan metabolism,40_60,60_plus,5.651609750870888,157.69516785906293,152.04355810819206,152.04355810819206
high_fiber,Bile acid metabolism,40_60,60_plus,2000.0,2143.0561924613744,143.0561924613744,143.0561924613744
high_fiber,Phenylalanine metabolism,20_40,60_plus,165.11942400874187,23.95599255702237,-141.1634314517195,141.1634314517195
high_fiber,Tryptophan metabolism,20_40,60_plus,18.014707051951294,157.69516785906293,139.68046080711164,139.68046080711164
high_fiber,Sulfur metabolism,20_40,40_60,232.27073156163186,95.15742786274609,-137.11330369888577,137.11330369888577
high_fiber,Methionine and cysteine metabolism,20_40,60_plus,375.3342853535486,510.9501646643235,135.61587931077491,135.61587931077491
high_fiber,Fatty acid synthesis,20_40,60_plus,5009.200038479287,4873.802364538137,-135.39767394115006,135.39767394115006
high_fiber,Lysine metabolism,20_40,60_plus,3085.580471764963,2954.6558044904878,-130.92466727447527,130.92466727447527
high_fiber,Tyrosine metabolism,20_40,60_plus,130.28075156933335,3.3113722094101226,-126.96937935992322,126.96937935992322
high_fiber,Phenylalanine metabolism,20_40,40_60,165.11942400874187,39.58993370894653,-125.52949029979534,125.52949029979534
high_fiber,Pyrimidine synthesis,40_60,60_plus,262.8600436452968,137.36580030244295,-125.49424334285385,125.49424334285385
high_fiber,Fatty acid synthesis,40_60,60_plus,4998.020195118065,4873.802364538137,-124.21783057992798,124.21783057992798
high_fiber,Tyrosine metabolism,20_40,40_60,130.28075156933335,11.05428315742684,-119.22646841190651,119.22646841190651
high_fiber,Propanoate metabolism,20_40,60_plus,3228.674141752237,3109.4599872956287,-119.21415445660841,119.21415445660841
high_fiber,Miscellaneous,40_60,60_plus,163.19054035367725,45.66312616151751,-117.52741419215974,117.52741419215974
high_fiber,Fructose and mannose metabolism,20_40,40_60,102.82167530231168,8.150945269248375,-94.67073003306331,94.67073003306331
high_fiber,Unassigned,20_40,40_60,2.1035186965326496,85.67596720358031,83.57244850704767,83.57244850704767
high_fiber,Pyrimidine synthesis,20_40,40_60,179.65868527059774,262.8600436452968,83.20135837469905,83.20135837469905
high_fiber,Nucleotide salvage pathway,20_40,60_plus,103.39762689313736,20.753617162961163,-82.6440097301762,82.6440097301762
high_fiber,Unassigned,40_60,60_plus,85.67596720358031,7.599872675799652,-78.07609452778067,78.07609452778067
high_fiber,Miscellaneous,20_40,40_60,86.59899574280617,163.19054035367725,76.59154461087108,76.59154461087108
high_fiber,Respiration,20_40,40_60,2982.9216440917326,2915.2435356086953,-67.67810848303725,67.67810848303725
high_fiber,Cell wall biosynthesis,20_40,60_plus,0.614203885398459,67.53846564124228,66.92426175584383,66.92426175584383
high_fiber,Cell wall biosynthesis,40_60,60_plus,1.0681724500560443,67.53846564124228,66.47029319118624,66.47029319118624
high_fiber,Pyrimidine catabolism,20_40,60_plus,306.84690385486584,371.56859822929636,64.72169437443051,64.72169437443051
high_fiber,Purine synthesis,20_40,60_plus,93.2381072101552,29.760742452107685,-63.47736475804752,63.47736475804752
high_fiber,Purine catabolism,40_60,60_plus,2111.252005286831,2171.4718878008575,60.21988251402672,60.21988251402672
high_fiber,Squalene and cholesterol synthesis,20_40,60_plus,0.1992907718986464,59.56899027892654,59.369699507027896,59.369699507027896
high_fiber,Squalene and cholesterol synthesis,40_60,60_plus,0.48665138196281454,59.56899027892654,59.082338896963726,59.082338896963726
high_fiber,NAD metabolism,20_40,40_60,1124.2995458403861,1066.0988354011236,-58.20071043926259,58.20071043926259
high_fiber,Nucleotide salvage pathway,20_40,40_60,103.39762689313736,45.26879973625101,-58.128827156886345,58.128827156886345
high_fiber,Bile acid metabolism,20_40,60_plus,2200.0,2143.0561924613744,-56.943807538625606,56.943807538625606
high_fiber,Fructose and mannose metabolism,20_40,60_plus,102.82167530231168,47.530657312676176,-55.2910179896355,55.2910179896355
high_fiber,Vitamin B6 metabolism,20_40,60_plus,65.92975004662604,11.296128490469496,-54.63362155615654,54.63362155615654
high_fiber,Oxidative phosphorylation,40_60,60_plus,8.082852948871512,62.03641315965524,53.95356021078373,53.95356021078373
high_fiber,Purine synthesis,20_40,40_60,93.2381072101552,47.04884025095471,-46.189266959200495,46.189266959200495
high_fiber,Pyrimidine synthesis,20_40,60_plus,179.65868527059774,137.36580030244295,-42.292884968154794,42.292884968154794
high_fiber,Vitamin B6 metabolism,20_40,40_60,65.92975004662604,24.36510772448122,-41.56464232214482,41.56464232214482
high_fiber,Miscellaneous,20_40,60_plus,86.59899574280617,45.66312616151751,-40.93586958128866,40.93586958128866
high_fiber,Fructose and mannose metabolism,40_60,60_plus,8.150945269248375,47.530657312676176,39.3797120434278,39.3797120434278
high_fiber,Nitrogen metabolism,20_40,40_60,58.26084352178422,20.3489348434415,-37.91190867834271,37.91190867834271
high_fiber,Glyoxylate and dicarboxylate metabolism,20_40,60_plus,4139.256075541995,4103.104053828258,-36.15202171373767,36.15202171373767
high_fiber,Propanoate metabolism,40_60,60_plus,3075.873991695522,3109.4599872956287,33.5859956001068,33.5859956001068
high_fiber,Galactose metabolism,20_40,60_plus,18048.65293175251,18015.319515629646,-33.33341612286313,33.33341612286313
high_fiber,Oxidative phosphorylation,20_40,40_60,40.64616647748392,8.082852948871512,-32.56331352861241,32.56331352861241
high_fiber,Ubiquinone and other terpenoid-quinone biosynthesis,20_40,40_60,27.49191714859915,0.0125776773123097,-27.47933947128684,27.47933947128684
high_fiber,Plant polysaccharide degradation,20_40,40_60,37.13072540746288,9.952894327048625,-27.177831080414258,27.177831080414258
high_fiber,Nitrogen metabolism,40_60,60_plus,20.3489348434415,47.17746703994019,26.82853219649869,26.82853219649869
high_fiber,Nucleotide salvage pathway,40_60,60_plus,45.26879973625101,20.753617162961163,-24.51518257328985,24.51518257328985
high_fiber,Plant polysaccharide degradation,20_40,60_plus,37.13072540746288,13.752564321882863,-23.378161085580018,23.378161085580018
high_fiber,Oxidative phosphorylation,20_40,60_plus,40.64616647748392,62.03641315965524,21.390246682171316,21.390246682171316
high_fiber,Urea cycle,20_40,40_60,303.59716106224147,322.2369440309573,18.63978296871585,18.63978296871585
high_fiber,Butanoate metabolism,20_40,40_60,5069.139803616842,5051.363372739371,-17.776430877471284,17.776430877471284
high_fiber,Ubiquinone and other terpenoid-quinone biosynthesis,20_40,60_plus,27.49191714859915,9.770964769595766,-17.720952379003386,17.720952379003386
high_fiber,Purine synthesis,40_60,60_plus,47.04884025095471,29.760742452107685,-17.288097798847026,17.288097798847026
high_fiber,Others,20_40,60_plus,19.420281173928068,3.612379962472803,-15.807901211455265,15.807901211455265
high_fiber,Phenylalanine metabolism,40_60,60_plus,39.58993370894653,23.95599255702237,-15.633941151924162,15.633941151924162
high_fiber,Vitamin B6 metabolism,40_60,60_plus,24.36510772448122,11.296128490469496,-13.068979234011724,13.068979234011724
high_fiber,Others,20_40,40_60,19.420281173928068,6.782978281147163,-12.637302892780905,12.637302892780905
high_fiber,beta-Alanine metabolism,20_40,40_60,19.284168751521698,6.818926178525487,-12.46524257299621,12.46524257299621
high_fiber,Tryptophan metabolism,20_40,40_60,18.014707051951294,5.651609750870888,-12.363097301080407,12.363097301080407
high_fiber,Fatty acid synthesis,20_40,40_60,5009.200038479287,4998.020195118065,-11.179843361222083,11.179843361222083
high_fiber,Nitrogen metabolism,20_40,60_plus,58.26084352178422,47.17746703994019,-11.083376481844027,11.083376481844027
high_fiber,Ubiquinone and other terpenoid-quinone biosynthesis,40_60,60_plus,0.0125776773123097,9.770964769595766,9.758387092283456,9.758387092283456
high_fiber,Tyrosine metabolism,40_60,60_plus,11.05428315742684,3.3113722094101226,-7.742910948016717,7.742910948016717
high_fiber,Histidine metabolism,40_60,60_plus,0.227852315977124,6.887204331554163,6.659352015577039,6.659352015577039
high_fiber,Histidine metabolism,20_40,60_plus,0.27131067776059103,6.887204331554163,6.615893653793572,6.615893653793572
high_fiber,Glutathione metabolism,40_60,60_plus,6.796036475589839,12.940363869876059,6.14432739428622,6.14432739428622
high_fiber,Unassigned,20_40,60_plus,2.1035186965326496,7.599872675799652,5.496353979267003,5.496353979267003
high_fiber,Glutathione metabolism,20_40,40_60,11.844047186986023,6.796036475589839,-5.048010711396184,5.048010711396184
high_fiber,Cholesterol metabolism,20_40,60_plus,0.0935471171828656,4.88800695319309,4.794459836010224,4.794459836010224
high_fiber,Cholesterol metabolism,40_60,60_plus,0.18416425211084958,4.88800695319309,4.70384270108224,4.70384270108224
high_fiber,Plant polysaccharide degradation,40_60,60_plus,9.952894327048625,13.752564321882863,3.799669994834238,3.799669994834238
high_fiber,Fatty acid oxidation,20_40,60_plus,2.5174627949510886,5.879702750009973,3.3622399550588846,3.3622399550588846
high_fiber,Others,40_60,60_plus,6.782978281147163,3.612379962472803,-3.1705983186743603,3.1705983186743603
high_fiber,Fatty acid oxidation,40_60,60_plus,2.859564572024417,5.879702750009973,3.0201381779855563,3.0201381779855563
high_fiber,Lipopolysaccharide biosynthesis,40_60,60_plus,0.37924890454698756,3.160017669036381,2.7807687644893933,2.7807687644893933
high_fiber,Lipopolysaccharide biosynthesis,20_40,60_plus,0.4127671168619667,3.160017669036381,2.747250552174414,2.747250552174414
high_fiber,Biotin metabolism,40_60,60_plus,0.1917250881511364,1.847685600843957,1.6559605126928207,1.6559605126928207
high_fiber,Biotin metabolism,20_40,60_plus,0.32059406926651335,1.847685600843957,1.5270915315774438,1.5270915315774438
high_fiber,Glutathione metabolism,20_40,60_plus,11.844047186986023,12.940363869876059,1.096316682890036,1.096316682890036
high_fiber,CoA synthesis,20_40,60_plus,0.2719763180506616,0.8676449484379902,0.5956686303873286,0.5956686303873286
high_fiber,Vitamin B2 metabolism,20_40,60_plus,0.08805429961382119,0.6695716063756536,0.5815173067618324,0.5815173067618324
high_fiber,Vitamin B2 metabolism,40_60,60_plus,0.1396295193766002,0.6695716063756536,0.5299420869990534,0.5299420869990534
high_fiber,CoA synthesis,40_60,60_plus,0.3435630290927223,0.8676449484379902,0.5240819193452679,0.5240819193452679
high_fiber,Cell wall biosynthesis,20_40,40_60,0.614203885398459,1.0681724500560443,0.4539685646575853,0.4539685646575853
high_fiber,Fatty acid oxidation,20_40,40_60,2.5174627949510886,2.859564572024417,0.34210177707332834,0.34210177707332834
high_fiber,Squalene and cholesterol synthesis,20_40,40_60,0.1992907718986464,0.48665138196281454,0.28736061006416813,0.28736061006416813
high_fiber,Biotin metabolism,20_40,40_60,0.32059406926651335,0.1917250881511364,-0.12886898111537695,0.12886898111537695
high_fiber,Methane metabolism,40_60,60_plus,0.0126557373772721,0.1215263650431155,0.10887062766584339,0.10887062766584339
high_fiber,Nucleotide sugar metabolism,40_60,60_plus,0.0143112794168674,0.11924594977495759,0.10493467035809019,0.10493467035809019
high_fiber,Nucleotide sugar metabolism,20_40,60_plus,0.0155761176174326,0.11924594977495759,0.10366983215752498,0.10366983215752498
high_fiber,Methane metabolism,20_40,60_plus,0.021984291727870003,0.1215263650431155,0.09954207331524549,0.09954207331524549
high_fiber,Cholesterol metabolism,20_40,40_60,0.0935471171828656,0.18416425211084958,0.09061713492798398,0.09061713492798398
high_fiber,CoA synthesis,20_40,40_60,0.2719763180506616,0.3435630290927223,0.07158671104206071,0.07158671104206071
high_fiber,Vitamin B2 metabolism,20_40,40_60,0.08805429961382119,0.1396295193766002,0.05157521976277901,0.05157521976277901
high_fiber,Vitamin B12 metabolism,20_40,60_plus,0.057730410073393496,0.102299384140632,0.044568974067238504,0.044568974067238504
high_fiber,Histidine metabolism,20_40,40_60,0.27131067776059103,0.227852315977124,-0.04345836178346704,0.04345836178346704
high_fiber,Vitamin B12 metabolism,40_60,60_plus,0.06288838656154849,0.102299384140632,0.03941099757908351,0.03941099757908351
high_fiber,Lipopolysaccharide biosynthesis,20_40,40_60,0.4127671168619667,0.37924890454698756,-0.033518212314979146,0.033518212314979146
high_fiber,Thiamine metabolism,20_40,60_plus,0.0116945847618594,0.0219706667399893,0.0102760819781299,0.0102760819781299
high_fiber,Thiamine metabolism,40_60,60_plus,0.0125776773123097,0.0219706667399893,0.0093929894276796,0.0093929894276796
high_fiber,Methane metabolism,20_40,40_60,0.021984291727870003,0.0126557373772721,-0.009328554350597904,0.009328554350597904
high_fiber,Vitamin B12 metabolism,20_40,40_60,0.057730410073393496,0.06288838656154849,0.005157976488154997,0.005157976488154997
high_fiber,Nucleotide sugar metabolism,20_40,40_60,0.0155761176174326,0.0143112794168674,-0.0012648382005652006,0.0012648382005652006
high_fiber,Thiamine metabolism,20_40,40_60,0.0116945847618594,0.0125776773123097,0.0008830925504503002,0.0008830925504503002
western,Nucleotide interconversion,40_60,60_plus,80244.98731750465,134479.1223964847,54234.135078980034,54234.135078980034
western,Nucleotide interconversion,20_40,40_60,116494.21186307282,80244.98731750465,-36249.22454556817,36249.22454556817
western,"Valine, leucine, and isoleucine metabolism",40_60,60_plus,32005.126926426678,51976.54440069068,19971.417474264,19971.417474264
western,Nucleotide interconversion,20_40,60_plus,116494.21186307282,134479.1223964847,17984.910533411865,17984.910533411865
western,Citric acid cycle,40_60,60_plus,23746.70769686457,37113.90951093019,13367.201814065622,13367.201814065622
western,"Valine, leucine, and isoleucine metabolism",20_40,40_60,44004.402780630066,32005.126926426678,-11999.275854203388,11999.275854203388
western,Citric acid cycle,20_40,40_60,34494.17306690408,23746.70769686457,-10747.465370039507,10747.465370039507
western,Glycolysis/gluconeogenesis,40_60,60_plus,18655.75380944003,28969.104126674447,10313.350317234417,10313.350317234417
western,Glycolysis/gluconeogenesis,20_40,40_60,27042.22668788746,18655.75380944003,-8386.472878447432,8386.472878447432
western,"Valine, leucine, and isoleucine metabolism",20_40,60_plus,44004.402780630066,51976.54440069068,7972.141620060611,7972.141620060611
western,"Transport, extracellular",20_40,40_60,24340.450188992196,16408.11457842389,-7932.335610568305,7932.335610568305
western,Glycerophospholipid metabolism,40_60,60_plus,8360.337162182359,16006.629792875108,7646.292630692749,7646.292630692749
western,Exchange/demand reaction,20_40,40_60,14036.014235032828,6947.608017925359,-7088.406217107469,7088.406217107469
western,Folate metabolism,40_60,60_plus,11606.89917047266,18675.957259764444,7069.058089291784,7069.058089291784
western,Glutamate metabolism,20_40,40_60,13804.725896539368,6888.27818231279,-6916.447714226579,6916.447714226579
western,Lysine metabolism,40_60,60_plus,3017.4140952303096,9250.268781738176,6232.854686507866,6232.854686507866
western,Lysine metabolism,20_40,60_plus,3087.3005805319017,9250.268781738176,6162.968201206274,6162.968201206274
western,Glutamate metabolism,40_60,60_plus,6888.27818231279,13012.71929950877,6124.44111719598,6124.44111719598
western,Galactose metabolism,20_40,40_60,18034.95390451047,12006.40033727574,-6028.553567234729,6028.553567234729
western,Galactose metabolism,40_60,60_plus,12006.40033727574,18013.638709047646,6007.238371771906,6007.238371771906
western,"Glycine, serine, alanine, and threonine metabolism",40_60,60_plus,14458.906220390772,20324.593507915146,5865.6872875243735,5865.6872875243735
western,Exchange/demand reaction,40_60,60_plus,6947.608017925359,12525.474139443204,5577.866121517845,5577.866121517845
western,"Glycine, serine, alanine, and threonine metabolism",20_40,40_60,19472.932160611697,14458.906220390772,-5014.025940220925,5014.025940220925
western,Folate metabolism,20_40,40_60,16209.545071425448,11606.89917047266,-4602.645900952788,4602.645900952788
western,Arginine and proline metabolism,40_60,60_plus,2104.493595399183,6619.027539829625,4514.533944430443,4514.533944430443
western,"Transport, extracellular",40_60,60_plus,16408.11457842389,20621.334117932565,4213.219539508675,4213.219539508675
western,Pentose phosphate pathway,40_60,60_plus,8530.026778239831,12679.372585451214,4149.345807211383,4149.345807211383
western,Glycerophospholipid metabolism,20_40,40_60,12471.546436346207,8360.337162182359,-4111.209274163848,4111.209274163848
western,Pentose phosphate pathway,20_40,60_plus,8930.54657730088,12679.372585451214,3748.826008150334,3748.826008150334
western,"Transport, extracellular",20_40,60_plus,24340.450188992196,20621.334117932565,-3719.1160710596305,3719.1160710596305
western,Aminosugar metabolism,20_40,40_60,5808.946505030326,2110.548736376242,-3698.3977686540843,3698.3977686540843
western,Glycerophospholipid metabolism,20_40,60_plus,12471.546436346207,16006.629792875108,3535.0833565289013,3535.0833565289013
western,Alanine and aspartate metabolism,20_40,60_plus,4516.632555345822,1213.7131745147876,-3302.9193808310342,3302.9193808310342
western,Starch and sucrose metabolism,20_40,40_60,5979.340958350574,2963.9296977860486,-3015.411260564525,3015.411260564525
western,Butanoate metabolism,40_60,60_plus,5069.0494806508295,7973.501421292508,2904.4519406416784,2904.4519406416784
western,Butanoate metabolism,20_40,60_plus,5076.363760360108,7973.501421292508,2897.1376609323997,2897.1376609323997
western,Pyruvate metabolism,20_40,40_60,5863.72732928174,3105.8106889987475,-2757.9166402829924,2757.9166402829924
western,Citric acid cycle,20_40,60_plus,34494.17306690408,37113.90951093019,2619.7364440261154,2619.7364440261154
western,Arginine and proline metabolism,20_40,60_plus,4110.106349249943,6619.027539829625,2508.921190579682,2508.921190579682
western,Folate metabolism,20_40,60_plus,16209.545071425448,18675.957259764444,2466.412188338996,2466.412188338996
western,Alanine and aspartate metabolism,20_40,40_60,4516.632555345822,2258.9440190980777,-2257.688536247744,2257.688536247744
western,Aminosugar metabolism,40_60,60_plus,2110.548736376242,4305.197297664635,2194.648561288393,2194.648561288393
western,Glyoxylate and dicarboxylate metabolism,20_40,40_60,4167.144660214512,2122.418686567281,-2044.7259736472315,2044.7259736472315
western,Arginine and proline metabolism,20_40,40_60,4110.106349249943,2104.493595399183,-2005.6127538507603,2005.6127538507603
western,beta-Alanine metabolism,40_60,60_plus,6.823106222629521,2003.6951472320281,1996.8720410093986,1996.8720410093986
western,Terpenoid backbone biosynthesis,20_40,40_60,6003.819856883556,4007.7537895844735,-1996.0660672990825,1996.0660672990825
western,Glyoxylate and dicarboxylate metabolism,40_60,60_plus,2122.418686567281,4117.221034126054,1994.8023475587734,1994.8023475587734
western,beta-Alanine metabolism,20_40,60_plus,19.267785875289242,2003.6951472320281,1984.4273613567389,1984.4273613567389
