tradeoff_fraction,age_group,diet,status,community_growth_rate,n_organisms,n_growing_in_diet,fraction_growing_in_diet,applied_exchanges,missing_exchanges,note
0.2,41_60,high_fiber,optimal,0.4582214814683808,10,5,0.5,126,38,
0.3,41_60,high_fiber,optimal,0.6873370405242462,10,5,0.5,126,38,
0.4,41_60,high_fiber,optimal,0.9164484163300247,10,5,0.5,126,38,
0.5,41_60,high_fiber,optimal,1.1451477677187878,10,5,0.5,126,38,
0.6,41_60,high_fiber,optimal,1.2084680701561141,10,5,0.5,126,38,
0.7,41_60,high_fiber,optimal,1.2311600061078194,10,5,0.5,126,38,
0.8,41_60,high_fiber,optimal,1.259549795725438,10,5,0.5,126,38,
0.9,41_60,high_fiber,optimal,1.2869104258616622,10,5,0.5,126,38,
1.0,41_60,high_fiber,optimal,1.3563517119272235,10,5,0.5,126,38,
0.0,41_60,western,optimal,0.008498776965037081,10,5,0.5,126,38,
0.1,41_60,western,optimal,0.2554884596029028,10,5,0.5,126,38,
0.2,41_60,western,optimal,0.5114450031268701,10,5,0.5,126,38,
0.3,41_60,western,optimal,0.7671904115738769,10,5,0.5,126,38,
0.4,41_60,western,optimal,1.022922508169546,10,5,0.5,126,38,
0.5,41_60,western,optimal,1.2801237512352763,10,5,0.5,126,38,
0.6,41_60,western,optimal,1.360668662349477,10,5,0.5,126,38,
0.7,41_60,western,optimal,1.3837082498392375,10,5,0.5,126,38,
0.8,41_60,western,optimal,1.417418146641894,10,5,0.5,126,38,
0.9,41_60,western,optimal,1.4531715170075676,10,5,0.5,126,38,
1.0,41_60,western,optimal,1.4644742606700676,10,5,0.5,126,38,
0.0,61_70,high_fiber,optimal,0.042527110344366445,10,5,0.5,126,38,
0.1,61_70,high_fiber,optimal,0.19871032970692157,10,5,0.5,126,38,
0.2,61_70,high_fiber,optimal,0.3975007469758595,10,5,0.5,126,38,
0.3,61_70,high_fiber,optimal,0.5962740755096501,10,5,0.5,126,38,
0.4,61_70,high_fiber,optimal,0.7966066857768417,10,5,0.5,126,38,
0.5,61_70,high_fiber,optimal,0.9896072727525876,10,5,0.5,126,38,
0.6,61_70,high_fiber,optimal,0.9937722990765058,10,5,0.5,126,38,
0.7,61_70,high_fiber,optimal,0.9993656542277158,10,5,0.5,126,38,
0.8,61_70,high_fiber,optimal,1.0055579685166243,10,5,0.5,126,38,
0.9,61_70,high_fiber,optimal,1.012978111742916,10,5,0.5,126,38,
1.0,61_70,high_fiber,optimal,1.0109293747827344,10,5,0.5,126,38,
0.0,61_70,western,optimal,0.035545781629679196,10,5,0.5,126,38,
0.1,61_70,western,optimal,0.22364781175048923,10,5,0.5,126,38,
0.2,61_70,western,optimal,0.4474393742818082,10,5,0.5,126,38,
0.3,61_70,western,optimal,0.6711012931389795,10,5,0.5,126,38,
0.4,61_70,western,optimal,0.9051488994640666,10,5,0.5,126,38,
0.5,61_70,western,optimal,1.1181458927298369,10,5,0.5,126,38,
0.6,61_70,western,optimal,1.146212903139586,10,5,0.5,126,38,
0.7,61_70,western,optimal,1.1557782459149752,10,5,0.5,126,38,
0.8,61_70,western,optimal,1.1670407345225546,10,5,0.5,126,38,
0.9,61_70,western,optimal,1.1778917376999825,10,5,0.5,126,38,
1.0,61_70,western,optimal,1.1812866673811033,10,5,0.5,126,38,
0.0,71_80,high_fiber,optimal,0.007775990784518202,10,7,0.7,121,43,
0.1,71_80,high_fiber,optimal,0.25147003263503764,10,7,0.7,121,43,
0.2,71_80,high_fiber,optimal,0.5037587346599145,10,7,0.7,121,43,
0.3,71_80,high_fiber,optimal,0.7556362202354197,10,7,0.7,121,43,
0.4,71_80,high_fiber,optimal,1.0075123791952967,10,7,0.7,121,43,
0.5,71_80,high_fiber,optimal,1.2593966554348017,10,7,0.7,121,43,
0.6,71_80,high_fiber,optimal,1.5113152843162247,10,7,0.7,121,43,
0.7,71_80,high_fiber,optimal,1.7631589187570327,10,7,0.7,121,43,
0.8,71_80,high_fiber,optimal,2.0150416098139363,10,7,0.7,121,43,
0.9,71_80,high_fiber,optimal,2.2459456494492858,10,7,0.7,121,43,
1.0,71_80,high_fiber,optimal,2.306140015940681,10,6,0.6,121,43,
0.0,71_80,western,optimal,0.012102746098344786,10,7,0.7,121,43,
0.1,71_80,western,optimal,0.28333326455245145,10,7,0.7,121,43,
0.2,71_80,western,optimal,0.567289668060043,10,7,0.7,121,43,
0.3,71_80,western,optimal,0.8509353954798613,10,7,0.7,121,43,
0.4,71_80,western,optimal,1.13458306833092,10,7,0.7,121,43,
0.5,71_80,western,optimal,1.4182292151983489,10,7,0.7,121,43,
0.6,71_80,western,optimal,1.7018763231469363,10,7,0.7,121,43,
0.7,71_80,western,optimal,1.98552164427132,10,7,0.7,121,43,
0.8,71_80,western,optimal,2.2691686432888027,10,7,0.7,121,43,
0.9,71_80,western,optimal,2.552757374757891,10,7,0.7,121,43,
1.0,71_80,western,optimal,2.6139210213961475,10,7,0.7,121,43,
0.0,81_plus,high_fiber,optimal,0.012672425721841813,10,9,0.9,130,34,
0.1,81_plus,high_fiber,optimal,0.33605651340513526,10,9,0.9,130,34,
0.2,81_plus,high_fiber,optimal,0.6721353999260731,10,9,0.9,130,34,
0.3,81_plus,high_fiber,optimal,1.0082034922388188,10,9,0.9,130,34,
0.4,81_plus,high_fiber,optimal,1.3442713440168326,10,9,0.9,130,34,
0.5,81_plus,high_fiber,optimal,1.6803416630222883,10,9,0.9,130,34,
0.6,81_plus,high_fiber,optimal,2.016411445819436,10,9,0.9,130,34,
0.7,81_plus,high_fiber,optimal,2.353212811758258,10,9,0.9,130,34,
0.8,81_plus,high_fiber,optimal,2.688484475716988,10,9,0.9,130,34,
0.9,81_plus,high_fiber,optimal,2.9610134093832947,10,9,0.9,130,34,
1.0,81_plus,high_fiber,optimal,3.112236554121215,10,9,0.9,130,34,
0.0,81_plus,western,optimal,0.015224642763224812,10,9,0.9,130,34,
0.1,81_plus,western,optimal,0.3514206640526576,10,9,0.9,130,34,
0.2,81_plus,western,optimal,0.7028871318714003,10,9,0.9,130,34,
0.3,81_plus,western,optimal,1.0543283054508672,10,9,0.9,130,34,
0.4,81_plus,western,optimal,1.4057824274617523,10,9,0.9,130,34,
0.5,81_plus,western,optimal,1.7572297964895534,10,9,0.9,130,34,
0.6,81_plus,western,optimal,2.1086761452334084,10,9,0.9,130,34,
0.7,81_plus,western,optimal,2.4601248404158236,10,9,0.9,130,34,
0.8,81_plus,western,optimal,2.811472095869517,10,9,0.9,130,34,
0.9,81_plus,western,optimal,3.1585672724909992,10,9,0.9,130,34,
1.0,81_plus,western,optimal,3.307731447668239,10,9,0.9,130,34,
